station_id,station_name,element_name,year,month,day,obs_val
43466,COLOMBO,TMPMAX,2012,8,19,31.3
43466,COLOMBO,TMPMAX,2012,8,20,30.8
43466,COLOMBO,TMPMAX,2012,8,21,30.2
43466,COLOMBO,TMPMAX,2012,8,22,30.1
43466,COLOMBO,TMPMAX,2012,8,23,30.8
43466,COLOMBO,TMPMAX,2012,8,24,28.7
43466,COLOMBO,TMPMAX,2012,8,25,30.9
43466,COLOMBO,TMPMAX,2012,8,26,30.6
43466,COLOMBO,TMPMAX,2012,8,27,30.6
43466,COLOMBO,TMPMAX,2012,8,28,30.6
43466,COLOMBO,TMPMAX,2012,8,29,29.3
43466,COLOMBO,TMPMAX,2012,8,30,28.8
43466,COLOMBO,TMPMAX,2012,8,31,30.9
43466,COLOMBO,TMPMAX,2012,9,1,30.6
43466,COLOMBO,TMPMAX,2012,9,2,30.1
43466,COLOMBO,TMPMAX,2012,9,3,30.3
43466,COLOMBO,TMPMAX,2012,9,4,27.1
43466,COLOMBO,TMPMAX,2012,9,5,30.5
43466,COLOMBO,TMPMAX,2012,9,6,30.3
43466,COLOMBO,TMPMAX,2012,9,7,27.9
43466,COLOMBO,TMPMAX,2012,9,8,30.6
43466,COLOMBO,TMPMAX,2012,9,9,30.2
43466,COLOMBO,TMPMAX,2012,9,10,30.5
43466,COLOMBO,TMPMAX,2012,9,11,30.7
43466,COLOMBO,TMPMAX,2012,9,12,30.7
43466,COLOMBO,TMPMAX,2012,9,13,31.2
43466,COLOMBO,TMPMAX,2012,9,14,31.1
43466,COLOMBO,TMPMAX,2012,9,15,31.1
43466,COLOMBO,TMPMAX,2012,9,16,30.1
43466,COLOMBO,TMPMAX,2012,9,17,31
43466,COLOMBO,TMPMAX,2012,9,18,31
43466,COLOMBO,TMPMAX,2012,9,19,30.7
43466,COLOMBO,TMPMAX,2012,9,20,30.1
43466,COLOMBO,TMPMAX,2012,9,21,31.5
43466,COLOMBO,TMPMAX,2012,9,22,30.5
43466,COLOMBO,TMPMAX,2012,9,23,29.9
43466,COLOMBO,TMPMAX,2012,9,24,30.1
43466,COLOMBO,TMPMAX,2012,9,25,30.5
43466,COLOMBO,TMPMAX,2012,9,26,30.9
43466,COLOMBO,TMPMAX,2012,9,27,30.5
43466,COLOMBO,TMPMAX,2012,9,28,31
43466,COLOMBO,TMPMAX,2012,9,29,30.9
43466,COLOMBO,TMPMAX,2012,9,30,31.1
43466,COLOMBO,TMPMAX,2012,9,31,
43466,COLOMBO,TMPMAX,2012,10,1,30.5
43466,COLOMBO,TMPMAX,2012,10,2,31.1
43466,COLOMBO,TMPMAX,2012,10,3,31.2
43466,COLOMBO,TMPMAX,2012,10,4,31
43466,COLOMBO,TMPMAX,2012,10,5,31.1
43466,COLOMBO,TMPMAX,2012,10,6,31.5
43466,COLOMBO,TMPMAX,2012,10,7,31.7
43466,COLOMBO,TMPMAX,2012,10,8,31.7
43466,COLOMBO,TMPMAX,2012,10,9,31.4
43466,COLOMBO,TMPMAX,2012,10,10,30.9
43466,COLOMBO,TMPMAX,2012,10,11,31.3
43466,COLOMBO,TMPMAX,2012,10,12,31.4
43466,COLOMBO,TMPMAX,2012,10,13,31.7
43466,COLOMBO,TMPMAX,2012,10,14,32.1
43466,COLOMBO,TMPMAX,2012,10,15,31.1
43466,COLOMBO,TMPMAX,2012,10,16,30.5
43466,COLOMBO,TMPMAX,2012,10,17,29.6
43466,COLOMBO,TMPMAX,2012,10,18,30.8
43466,COLOMBO,TMPMAX,2012,10,19,30.1
43466,COLOMBO,TMPMAX,2012,10,20,30.7
43466,COLOMBO,TMPMAX,2012,10,21,31.4
